生まれ年,年代,体力年齢,性別,身長,握力（右）,握力（左）,握力平均,上体起こし,上体そらし,背筋力,立ち上がり,30秒立ち座り,垂直跳び,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,20mシャトルラン,ハンドボール投げ,長座体前屈,閉眼片足立ち,棒反応,肺活量
1971.0,50代女性,45~49,女,165.0,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,False,False,False,False,長座体前屈,閉眼片足立ち,棒反応,False
1971.0,50代女性,25~29,女,160.0,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,False,False,False,False,長座体前屈,閉眼片足立ち,False,False
1971.0,50代女性,55~59,女,161.0,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,False,False,False,False,長座体前屈,閉眼片足立ち,棒反応,False
1972.0,50代女性,35~39,女,155.0,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,False,False,False,False,長座体前屈,閉眼片足立ち,棒反応,False
1972.0,50代女性,30~34,女,160.0,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,False,False,False,False,長座体前屈,閉眼片足立ち,棒反応,False
1972.0,50代女性,30~34,女,158.0,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,False,False,False,False,長座体前屈,閉眼片足立ち,棒反応,False
1972.0,50代女性,45~49,女,157.0,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,False,False,False,False,長座体前屈,閉眼片足立ち,棒反応,False
1972.0,50代女性,30~34,女,159.5,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,False,False,False,False,長座体前屈,閉眼片足立ち,棒反応,False
1972.0,50代女性,45~49,女,167.0,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,False,False,False,False,長座体前屈,閉眼片足立ち,棒反応,False
1972.0,50代女性,25~29,女,153.0,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,False,False,False,False,長座体前屈,閉眼片足立ち,棒反応,False
1972.0,50代女性,55~59,女,160.0,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,False,False,False,False,長座体前屈,閉眼片足立ち,棒反応,False
1972.0,50代女性,40~44,女,156.0,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,False,False,False,False,長座体前屈,閉眼片足立ち,棒反応,False
1972.0,50代女性,25~29,女,159.0,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,False,False,False,False,長座体前屈,閉眼片足立ち,棒反応,False
1972.0,50代女性,70~74,女,160.0,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,False,False,False,False,長座体前屈,閉眼片足立ち,棒反応,False
1972.0,50代女性,50~54,女,155.0,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,False,False,False,False,長座体前屈,閉眼片足立ち,棒反応,False
1972.0,50代女性,45~49,女,157.0,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,False,False,False,False,長座体前屈,閉眼片足立ち,棒反応,False
1972.0,50代女性,35~39,女,163.0,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,False,False,False,False,長座体前屈,閉眼片足立ち,棒反応,False
1972.0,50代女性,50~54,女,152.0,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,False,False,False,False,長座体前屈,閉眼片足立ち,棒反応,False
1972.0,50代女性,45~49,女,158.0,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,False,False,False,False,長座体前屈,閉眼片足立ち,棒反応,False
1972.0,50代女性,35~39,女,167.5,握力（右）,握力（左）,握力平均,上体起こし,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,False,False,長座体前屈,閉眼片足立ち,棒反応,False
1972.0,50代女性,45~49,女,160.0,握力（右）,握力（左）,握力平均,上体起こし,False,背筋力,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,False,False,長座体前屈,閉眼片足立ち,棒反応,False
1972.0,50代女性,50~54,女,157.0,握力（右）,握力（左）,握力平均,上体起こし,False,背筋力,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,False,False,長座体前屈,閉眼片足立ち,棒反応,False
1973.0,40代女性,40~44,女,163.0,握力（右）,握力（左）,握力平均,上体起こし,False,背筋力,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,立ち幅跳び,反復横跳び,20mシャトルラン,ハンドボール投げ,長座体前屈,閉眼片足立ち,棒反応,False
1973.0,40代女性,30~34,女,150.0,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,False,False,False,False,長座体前屈,閉眼片足立ち,棒反応,False
1973.0,40代女性,60~64,女,165.0,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,False,False,False,False,長座体前屈,閉眼片足立ち,棒反応,False
1973.0,40代女性,55~59,女,168.0,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,False,False,False,False,長座体前屈,閉眼片足立ち,棒反応,False
1973.0,40代女性,55~59,女,155.0,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,False,False,False,False,長座体前屈,閉眼片足立ち,棒反応,False
1973.0,40代女性,55~59,女,162.3,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,False,False,False,False,長座体前屈,閉眼片足立ち,棒反応,False
1973.0,40代女性,35~39,女,157.0,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,False,False,False,False,長座体前屈,閉眼片足立ち,棒反応,False
1973.0,40代女性,30~34,女,160.0,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,False,False,False,False,長座体前屈,閉眼片足立ち,棒反応,False
1973.0,40代女性,65~69,女,160.0,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,False,False,False,False,長座体前屈,閉眼片足立ち,棒反応,False
1973.0,40代女性,40~44,女,160.0,握力（右）,握力（左）,握力平均,False,False,False,立ち上がり,30秒立ち座り,False,2ステップ,2ステップの距離,False,False,False,False,長座体前屈,閉眼片足立ち,棒反応,False
